Index,Phase,DelH,DelS,Tm/K ,DelO,DelR,DelK,Erms,VEC,e/a
215,0,-24.1986,11.8367,1829.62,0.89,3.452,0.0888,0.0193,3.84,2.33
216,0,2.14,9.9956,2243.2,10.48,4.0826,0.0999,0.01858,4.3,1.75
217,2,-10.8344,13.3274,1713.86,2.11,4.8739,0.117,0.03721,7.43,1.94
218,0,1.2587,12.5998,2529.39,25.32,4.0358,0.1741,0.02372,4.58,1.71
219,0,-3.2688,10.8372,2481.79,8.23,2.8823,0.2709,0.02811,5.0,1.39
220,1,-4.44,14.5334,1715.61,5.62,4.0544,0.1112,0.042796,8.0,1.8
221,1,-6.3222,14.2419,1756.04,3.96,3.1552,0.139,0.051515,7.8,1.85
222,0,-0.0178,13.1503,2382.21,1759.93,4.9131,0.2528,0.019659,4.45,1.67
223,2,-10.8589,14.8735,1670.78,2.29,4.6338,0.1393,0.037647,7.3,1.97
224,1,3.52,13.3809,1758.04,6.68,1.0732,0.0922,0.042638,8.8,1.6
225,0,-3.4696,13.1555,2430.96,9.22,5.6017,0.3072,0.0275,4.95,1.53
226,2,-6.24,13.3809,1583.12,3.39,5.2696,0.1295,0.036376,7.8,1.8
227,1,-3.375,14.6919,1773.8,7.72,4.2772,0.1221,0.040819,8.37,1.64
228,0,-14.0,11.5257,1971.71,1.62,5.0547,0.2448,0.026379,4.75,1.75
229,1,-3.9001,12.1904,1882.88,5.89,1.9478,0.1088,0.047916,8.2,1.73
230,2,-10.5401,13.3053,1721.26,2.17,4.7789,0.1163,0.037215,7.47,1.93
231,0,-16.4198,12.2598,1461.46,1.09,6.3511,0.1271,0.021322,6.0,2.29
232,1,-12.4727,13.6858,1811.9,1.99,4.8829,0.1253,0.040356,7.91,1.86
233,0,-13.44,13.3809,2205.0,2.2,3.3322,0.0445,0.026226,4.4,2.0
234,0,-2.6152,12.8074,2399.3,11.75,5.3278,0.2969,0.024757,4.77,1.53
235,0,-3.808,14.4157,2421.73,9.17,4.2199,0.1139,0.020313,4.32,1.87
236,1,-6.8103,12.7211,1802.63,3.37,3.3131,0.1062,0.046306,7.94,1.83
237,1,-11.0198,11.0668,1753.57,1.76,4.4315,0.119,0.042962,8.02,1.92
238,2,0.32,12.9458,1785.48,72.23,2.0226,0.1381,0.038288,7.9,1.6
239,0,-5.0332,10.3724,1405.18,2.9,25.9587,0.3818,0.028016,4.45,1.44
240,0,-22.4504,13.3412,1985.81,1.18,4.7559,0.1271,0.015337,3.95,2.05
241,1,-7.1867,12.8074,1795.23,3.2,3.4918,0.1073,0.046121,7.89,1.84
242,0,-4.864,13.4631,2302.73,6.37,4.5422,0.1049,0.021154,4.34,1.86
243,1,-4.0,11.5257,1705.36,4.91,2.3163,0.1429,0.04473,8.5,2.0
244,0,2.14,9.9956,2243.2,10.48,4.0826,0.0999,0.01858,4.3,1.75
245,0,-4.64,13.3809,2945.75,8.49,3.514,0.3429,0.0333,5.4,1.6
246,0,-9.4787,17.9127,1774.4,3.35,5.0839,0.148,0.026588,7.36,1.79
247,1,-4.1144,13.2934,1788.66,5.78,2.0116,0.1364,0.050644,8.07,1.82
248,0,-14.9772,11.2338,3145.7,2.36,2.4117,0.3059,0.030702,5.86,1.43
249,0,-13.3374,13.9283,1693.99,1.77,5.6243,0.1222,0.025099,7.16,1.98
250,0,1.75,11.5257,2456.9,16.18,4.3108,0.1006,0.016543,4.25,2.0
251,0,-17.868,14.6919,1696.57,1.39,6.0729,0.1337,0.023847,6.91,2.0
252,0,-16.2686,15.7406,1673.58,1.62,4.9795,0.1381,0.027823,6.64,2.09
253,2,-4.67,9.8711,1862.98,3.94,2.0077,0.0859,0.038014,7.85,1.9
254,2,-7.1481,12.6323,1445.86,2.56,5.8607,0.1252,0.037145,6.38,2.08
255,1,-0.92,9.7131,1749.58,18.47,1.8496,0.1321,0.059458,7.6,1.9
256,0,-2.5265,12.2598,2312.0,11.22,6.0347,0.2323,0.029597,4.86,1.72
257,2,-13.5263,14.8966,1648.68,1.82,6.3215,0.1448,0.037183,6.99,1.84
258,0,-3.6729,10.693,2515.83,7.32,2.8438,0.2829,0.028562,5.08,1.36
259,2,-9.2238,14.748,1704.2,2.72,4.169,0.1394,0.037692,7.5,1.92
261,2,-7.4565,14.5264,1685.23,3.28,4.9088,0.1205,0.037251,7.41,1.84
262,2,-0.92,9.7131,1749.58,18.47,1.8496,0.1321,0.039116,7.6,1.9
263,2,-12.0768,13.9789,1740.15,2.01,5.0283,0.1211,0.037212,7.44,1.92
264,1,-0.8817,9.6698,1524.73,16.72,2.9217,0.1675,0.039599,9.23,1.69
265,0,-9.5675,14.215,1482.63,2.2,5.9874,0.1305,0.020791,6.87,2.07
266,2,-8.752,14.6919,1713.2,2.88,4.0233,0.1393,0.037704,7.55,1.91
267,0,-13.75,11.5257,1558.93,1.31,5.833,0.1176,0.019404,7.5,2.25
268,1,-10.508,13.7565,1861.1,2.44,17.7407,0.3867,0.041203,9.11,2.26
269,1,-11.6448,11.0734,1893.42,1.8,4.8906,0.1289,0.051352,7.53,1.71
270,1,0.94,14.2419,1796.28,27.22,3.486,0.1024,0.043531,8.65,1.58
271,1,-2.6702,13.078,1743.02,8.54,3.4189,0.0943,0.046725,8.01,1.86
272,1,-2.335,10.5904,1887.22,8.56,2.4229,0.1,0.051032,8.03,1.83
273,0,-16.4198,12.2598,1461.46,1.09,6.3511,0.1271,0.021322,6.0,2.29
275,1,-4.189,14.0087,1764.48,5.9,3.4095,0.1065,0.044512,8.09,1.78
276,0,-6.2566,12.706,2337.53,4.75,3.3871,0.2443,0.028775,4.88,1.59
277,0,-2.5,11.5257,2415.65,11.14,4.9654,0.3074,0.023732,4.75,1.5
278,0,-5.28,13.3809,2897.35,7.34,2.3423,0.3561,0.029298,5.2,1.6
279,0,-4.4516,12.5736,2351.01,6.64,6.613,0.3341,0.019101,4.57,1.71
280,1,-1.7372,13.3053,1633.84,12.51,4.6692,0.1199,0.043809,7.9,1.72
281,2,-5.9547,15.9057,1783.34,4.76,4.0573,0.1228,0.037527,7.61,1.78
282,0,2.36,12.8408,2356.0,12.82,4.3105,0.1128,0.01843,4.3,1.8
283,0,0.2466,2.5146,1980.97,20.2,1.5228,0.0313,0.00905,4.04,1.98
284,1,-7.8165,14.553,1730.34,3.22,3.7153,0.1392,0.050745,7.65,1.88
285,2,-16.3696,14.2251,1707.56,1.48,5.7724,0.1307,0.036834,7.23,2.0
286,2,-16.529,14.8966,1642.03,1.48,6.4159,0.151,0.036448,7.16,1.84
287,0,-5.5,11.5257,2555.65,5.36,5.7366,0.2616,0.030526,5.25,1.5
288,0,0.0817,9.3147,2328.31,265.45,2.8673,0.1204,0.025938,4.62,1.54
289,0,-26.4,13.3809,1633.77,0.83,6.8086,0.15,0.01759,6.8,2.2
291,0,-21.6031,14.8966,1715.67,1.18,6.4913,0.1415,0.022849,6.67,2.0
292,0,-7.2705,12.6674,1709.14,2.98,4.1188,0.1288,0.033372,7.0,1.89
293,0,-1.776,13.1503,2466.36,18.26,5.0726,0.3094,0.02245,4.67,1.56
294,2,-5.28,13.3809,1518.69,3.85,5.2696,0.1115,0.036336,8.2,2.0
295,2,-8.0,11.5257,1446.36,2.08,5.755,0.1246,0.035523,8.25,2.0
296,1,-6.9688,13.0919,1683.14,3.16,4.4151,0.1082,0.034745,8.0,1.94
297,0,-0.25,11.5257,2522.9,116.31,3.7073,0.046,0.029141,4.75,1.75
299,1,-13.5918,14.8966,1942.75,2.13,6.1916,0.1423,0.054045,7.51,1.67
300,1,-3.512,12.6674,1779.97,6.42,1.7559,0.1183,0.043832,0.0,1.89
301,2,-9.1233,13.1503,1754.54,2.53,4.2876,0.1126,0.037239,7.66,1.89
302,2,2.7688,13.1503,1697.27,8.06,2.1202,0.148,0.037707,8.44,1.56
303,2,-3.4648,14.8744,1642.59,7.05,4.5801,0.116,0.036909,7.99,1.8
304,1,-4.1446,12.8074,1928.29,5.96,2.9283,0.1267,0.048363,8.1,1.7
305,2,-12.7553,13.3053,1643.47,1.71,5.4647,0.1205,0.037018,7.28,2.07
306,2,-9.0483,12.0102,1740.38,2.31,4.8372,0.1095,0.037575,7.47,2.03
307,0,-15.4671,13.3274,2102.13,1.81,4.6636,0.1265,0.016018,4.06,1.94
308,0,-2.1169,14.8966,2516.31,17.71,5.3253,0.2568,0.027477,4.83,1.67
309,0,-3.2012,12.7309,2431.09,9.67,5.3236,0.3129,0.025436,4.85,1.5
