Index,TE ,C,Cr,W,Si,Mn,V,Ta,Zr,Y,Ti,N,NT ,Nt ,TT ,Tt ,Ttest 
177,14.64,0.1,9.2,1.5,0.05,0.44,0.22,0.15,0,0.014,0.025,0,1050,30,650,90,300
159,31.4,0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.05,0.0029,1050,30,750,90,25
23,14.2,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,300
247,20,0.098,8.99,2,0.05,0.5,0.2,0.098,0,0,0.002,0.0149,1050,60,780,30,600
9,15.43,0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,100
92,16.1,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0,0.0031,1050,30,750,90,500
128,15.4,0.09,9,2,0.09,0.5,0.18,0.09,0,0,0,0,1030,30,750,60,25
216,18,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,400
56,38.47,0.12,8.84,2.05,0.77,0.51,0.24,0.11,0,0,0,0,1050,60,750,120,600
6,20.2,0.11,8.7,1,0,0.44,0.19,0.1,0,0,0,0,980,27,760,90,500
217,18,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,450
142,14.7,0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0,0.0028,1050,30,750,90,300
69,21.5,0.11,9.4,1.35,0.05,0.45,0.22,0.071,0,0.071,0,0.0022,1050,30,750,90,300
197,14.8,0.09,9,1.98,0,0.49,0.2,0.083,0,0,0,0.015,1050,60,780,60,25
175,13.44,0.11,9.2,1.51,0.05,0.44,0.22,0.15,0,0.013,0,0,1050,30,650,90,300
42,22,0.11,8.55,1.48,0,0.51,0.25,0.1,0,0,0,0.025,980,45,740,90,25
235,22,0.097,8.99,2.01,0.049,0.5,0.2,0.1,0,0,0.002,0.015,1050,60,780,30,25
169,23.6,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.253,0,0.0153,1100,30,740,90,650
263,15.9,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0,0,0.001,0.0098,1040,40,750,60,400
